"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Deep Sequencing of the Vaginal Microbiota of Women with HIV","Hummelen, Ruben; Fernandes, Andrew D.; Macklaim, Jean M.; Dickson, Russell J.; Changalucha, John; Gloor, Gregory B.; Reid, Gregor","","","","PLOS ONE","AUG 12 2010","2010","5","8","","","","","","e12078","10.1371/journal.pone.0012078","","","117","14.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","14","26","18","20","12","14","10","0"
"An accurate density functional theory for the vapor-liquid interface of associating chain molecules based on the statistical associating fluid theory for potentials of variable range","Gloor, GJ; Jackson, G; Blas, FJ; del Rio, EM; de Miguel, E","","","","JOURNAL OF CHEMICAL PHYSICS","DEC 22 2004","2004","121","24","","","","12740","12759","","10.1063/1.1807833","","","92","6.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","6","5","5","11","10","8","8","7","5","8","7","0"
"AMPLIFICATION AND PURIFICATION OF THE BACTERIOPHAGE-MU ENCODED B-TRANSPOSITION PROTEIN","CHACONAS, G; GLOOR, G; MILLER, JL","","","","JOURNAL OF BIOLOGICAL CHEMISTRY","1985","1985","260","5","","","","2662","2669","","","","","84","2.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","4","4","7","2","8","5","4","7","6","2","4","5","0","2","3","2","2","2","0","1","1","0","0","1","0","0","1","1","1","1","0","0"
"At the crossroads of vaginal health and disease, the genome sequence of Lactobacillus iners AB-1","Macklaim, Jean M.; Gloor, Gregory B.; Anukam, Kingsley C.; Cribby, Sarah; Reid, Gregor","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","MAR 15 2011","2011","108","","","1","","4688","4695","","10.1073/pnas.1000086107","","","71","10.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","11","15","12","8","11","0"
"High throughput sequencing methods and analysis for microbiome research","Di Bella, Julia M.; Bao, Yige; Gloor, Gregory B.; Burton, Jeremy P.; Reid, Gregor","","","","JOURNAL OF MICROBIOLOGICAL METHODS","DEC 2013","2013","95","3","","","SI","401","414","","10.1016/j.mimet.2013.08.011","","","63","12.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","17","19","21","0"
"A ROLE FOR THE KP LEUCINE-ZIPPER IN REGULATING P-ELEMENT TRANSPOSITION IN DROSOPHILA-MELANOGASTER","ANDREWS, JD; GLOOR, GB","","","","GENETICS","OCT 1995","1995","141","2","","","","587","594","","","","","63","2.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","6","8","3","4","5","0","4","1","0","4","2","0","2","1","3","0","1","1","2","1","0"
"Tapping natural reservoirs of homing endonucleases for targeted gene modification","Takeuchi, Ryo; Lambert, Abigail R.; Mak, Amanda Nga-Sze; Jacoby, Kyle; Dickson, Russell J.; Gloor, Gregory B.; Scharenberg, Andrew M.; Edgell, David R.; Stoddard, Barry L.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","AUG 9 2011","2011","108","32","","","","13077","13082","","10.1073/pnas.1107719108","","","62","8.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","9","19","5","10","8","0"
"Efficient, Chemoenzymatic Process for Manufacture of the Boceprevir Bicyclic [3.1.0]Proline Intermediate Based on Amine Oxidase-Catalyzed Desymmetrization","Li, Tao; Liang, Jack; Ambrogelly, Alexandre; Brennan, Tim; Gloor, Guy; Huisman, Gjalt; Lalonde, James; Lekhal, Azzeddine; Mijts, Ben; Muley, Sheela; Newman, Lisa; Tobin, Matt; Wong, George; Zaks, Aleksey; Zhang, Xiyun","","","","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","APR 11 2012","2012","134","14","","","","6467","6472","","10.1021/ja3010495","","","61","10.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","13","15","9","10","0"
"Comparative meta-RNA-seq of the vaginal microbiota and differential expression by Lactobacillus iners in health and dysbiosis","Macklaim, Jean M.; Fernandes, Andrew D.; Di Bella, Julia M.; Hammond, Jo-Anne; Reid, Gregor; Gloor, Gregory B.","","","","MICROBIOME","2013","2013","1","","","","","","","12","10.1186/2049-2618-1-12","","","60","12.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16","14","12","17","0"
"Microbiota of Human Breast Tissue","Urbaniak, Camilla; Cummins, Joanne; Brackstone, Muriel; Macklaim, Jean M.; Gloor, Gregory B.; Baban, Chwanrow K.; Scott, Leslie; O'Hanlon, Deidre M.; Burton, Jeremy P.; Francis, Kevin P.; Tangney, Mark; Reid, Gregor","","","","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","MAY 2014","2014","80","10","","","","3007","3014","","10.1128/AEM.00242-14","","","53","13.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","15","17","20","0"
"Microbial ecosystems therapeutics: a new paradigm in medicine?","Petrof, E. O.; Claud, E. C.; Gloor, G. B.; Allen-Vercoe, E.","","","","BENEFICIAL MICROBES","MAR 2013","2013","4","1","","","","53","65","","10.3920/BM2012.0039","3rd TNO Beneficial Microbes Conference","MAR 26-28, 2012","49","9.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","16","11","8","6","0"
"Unifying the analysis of high-throughput sequencing datasets: characterizing RNA-seq, 16S rRNA gene sequencing and selective growth experiments by compositional data analysis","Fernandes, Andrew D.; Reid, Jennifer N. S.; Macklaim, Jean M.; McMurrough, Thomas A.; Edgell, David R.; Gloor, Gregory B.","","","","MICROBIOME","MAY 5 2014","2014","2","","","","","","","15","10.1186/2049-2618-2-15","","","46","11.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","15","23","0"
"Vaginal Microbiome and Epithelial Gene Array in Post-Menopausal Women with Moderate to Severe Dryness","Hummelen, Ruben; Macklaim, Jean M.; Bisanz, Jordan E.; Hammond, Jo-Anne; McMillan, Amy; Vongsa, Rebecca; Koenig, David; Gloor, Gregory B.; Reid, Gregor","","","","PLOS ONE","NOV 2 2011","2011","6","11","","","","","","e26602","10.1371/journal.pone.0026602","","","45","6.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","11","13","5","7","0"
"A Peptide-Based Target Screen Implicates the Protein Kinase CK2 in the Global Regulation of Caspase Signaling","Duncan, James S.; Turowec, Jacob P.; Duncan, Kelly E.; Vilk, Greg; Wu, Chenggang; Luescher, Bernhard; Li, Shawn S. -C.; Gloor, Greg B.; Litchfield, David W.","","","","SCIENCE SIGNALING","MAY 10 2011","2011","4","172","","","","","","ra30","10.1126/scisignal.2001682","","","45","6.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","11","7","7","3","9","0"
"A Canadian Working Group report on fecal microbial therapy: Microbial ecosystems therapeutics","Allen-Vercoe, Emma; Reid, Gregor; Viner, Norman; Gloor, Gregory B.; Hota, Susy; Kim, Peter; Lee, Christine; O'Doherty, Kieran C.; Vanner, Stephen J.; Weese, J. Scott; Petrof, Elaine O.","","","","CANADIAN JOURNAL OF GASTROENTEROLOGY","JUL 2012","2012","26","7","","","","457","462","","10.1155/2012/213828                                                             ","","","41","6.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","11","5","8","7","0"
"Regulation of cell proliferation and survival: Convergence of protein kinases and caspases","Duncan, James S.; Turowec, Jacob P.; Vilk, Greg; Li, Shawn S. C.; Gloor, Gregory B.; Litchfield, David W.","","","","BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS","MAR 2010","2010","1804","3","","","SI","505","510","","10.1016/j.bbapap.2009.11.001","6th International Conference on Inhibitors of Protein Kinases ( IPK 2009)","JUN 27-JUL 01, 2009","40","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","7","8","5","6","2","3","0"
"Probiotic Administration Attenuates Myocardial Hypertrophy and Heart Failure After Myocardial Infarction in the Rat","Gan, Xiaohong Tracey; Ettinger, Grace; Huang, Cathy X.; Burton, Jeremy P.; Haist, James V.; Rajapurohitam, Venkatesh; Sidaway, James E.; Martin, Glynn; Gloor, Gregory B.; Swann, Jonathan R.; Reid, Gregor; Karmazyn, Morris","","","","CIRCULATION-HEART FAILURE","MAY 2014","2014","7","3","","","","491","499","","10.1161/CIRCHEARTFAILURE.113.000978","","","39","9.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","7","18","0"
"A TRUNCATED FORM OF THE BACTERIOPHAGE-MU-B PROTEIN PROMOTES CONSERVATIVE INTEGRATION, BUT NOT REPLICATIVE TRANSPOSITION, OF MU-DNA","CHACONAS, G; GIDDENS, EB; MILLER, JL; GLOOR, G","","","","CELL","1985","1985","41","3","","","","857","865","","10.1016/S0092-8674(85)80066-0                                                   ","","","39","1.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","5","3","2","2","0","1","0","2","0","2","0","1","1","2","2","3","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0"
"Distinct P-element excision products in somatic and germline cells of Drosophila melanogaster","Gloor, GB; Moretti, J; Mouyal, J; Keeler, KJ","","","","GENETICS","AUG 2000","2000","155","4","","","","1821","1830","","","","","33","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","3","3","6","5","1","3","1","1","0","1","1","1","3","1","0"
"Gene targeting of a plasmid-borne sequence to a double-strand DNA break in Drosphila melanogaster","Keeler, KJ; Dray, T; Penney, JE; Gloor, GB","","","","MOLECULAR AND CELLULAR BIOLOGY","FEB 1996","1996","16","2","","","","522","528","","","","","32","1.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","4","1","2","1","6","0","2","0","4","1","0","0","1","0","0","4","0","0","1","0","0"
"Evidence for greater production of colonic short-chain fatty acids in overweight than lean humans","Rahat-Rozenbloom, S.; Fernandes, J.; Gloor, G. B.; Wolever, T. M. S.","","","","INTERNATIONAL JOURNAL OF OBESITY","DEC 2014","2014","38","12","","","","1525","1531","","10.1038/ijo.2014.46","","","29","7.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","10","12","0"
